title,sentiment,key_phrase,confidence,response_id,country
Sub - Zero  Real  Rates Puts Turkey Central Bank in a Bind,negative,Sub-Zero Real Rates,high,Zc4iavSON9mN7M8P9IeEiQ4,Turkey
IMF says Argentina debt to peak at 65 pct of GDP in 2018,negative,debt to peak,high,as4iaqnzIav6nsEPzdj_-A0,Argentina
Turkey economic minister says lira weakening is speculative,negative,lira weakening,high,b84iaqqjBqXMnsEPlsaWqA8,Turkey
Turkey economy slowed in second quarter as currency slid,negative,economy slowed,high,c84iapyjJoWF7M8P_NS28A0,Turkey
Argentina Moves to Defend Peso With Surprise Rate Increase,negative,Defend Peso,high,eM4iaqrDDujY7M8P4c62mAE,Argentina
"LatAm markets , currencies up on weaker U . S . dollar , higher oil prices",positive,"markets , currencies up",high,fM4ias2uN9q0nsEP79eeMA,Argentina
EMERGING MARKETS - LatAm markets fall on U . S . rate hike prospects after wage data,negative,markets fall,high,gc4iauvjJ7ainsEPlabu8QE,Argentina
EMERGING MARKETS - Mexico peso slips as China - U . S . frictions fuel trade war fears,negative,trade war fears,high,hs4iavTgDYbj7M8Pyr7SgQ4,Argentina
Battered Argentine peso rises after interest rate jump,positive,rises after interest rate jump,high,is4iarPwNZWVkdUPwcPviQ4,Argentina
"Turkey rules property sales , rental agreements must be in lira",neutral,must be in lira,high,j84iasfnJfXMnsEPsfnP8AU,Turkey
Selling Pressure In Emerging Market Currencies Accelerates Following Latest Lira Decline,negative,Selling Pressure In Emerging Market Currencies Accelerates,high,lM4iapjHDZ6ykdUPmNqW8A0,Turkey
Argentina all ready to kick off again,positive,kick off again,medium,mM4iavSUNfmtkdUPg-q20Q0,Argentina
Turkey Central Bank Lifts Key Rate Amid Lira Fall,negative,Lira Fall,high,nc4iasr5JMq5nsEPuaO58QE,Turkey
Brazil real plummets despite central bank intervention,negative,real plummets,high,os4iasTVEZuekdUPpcTswQ4,Argentina
Cencosud S . A .: Cencosud Reports Fourth Quarter 2017 Results,neutral,Reports Fourth Quarter 2017 Results,high,ps4iaoCBNteIkdUPn-TZ4A0,Argentina
Tornos News,neutral,Tornos News,high,q84iauf-LcuD7M8P1M71-AE,Turkey
Turkey Wont Fool Investors Twice on Rates,positive,Wont Fool Investors Twice,high,sc4iaoDONenk7M8PudaRkQY,Turkey
Syrians launch campaign to support Turkish lira | Turkey,positive,support Turkish lira,high,ts4iavTZJOOxkdUPjuid0QE,Turkey
Can Argentina President - Elect Overcome the Obstacles to Reform ? ,negative,Obstacles to Reform,medium,u84iaoixCsD5nsEP3bfjgQ4,Argentina
Moody Sees a Sharp Contraction in Turkey Economy - Economia e Finanza,negative,Sharp Contraction,high,v84iav6HLdmVkdUP1t-9qAY,Turkey
Central Bank News,neutral,Central Bank News,high,xM4iatPPFaLOnsEPiLzb6Q0,Argentina
Turkish inflation hits 25 % ,negative,inflation hits 25 %,high,yc4iauHaBvy0kdUPouWo4A0,Turkey
Germany MediaMarkt suspends Turkey Teknosa acquisition plans,negative,suspends acquisition plans,high,zc4iapnEJ56KkdUPiOLAwAE,Turkey
"Alibaba and other China heavyweights eye Turkey assets after lira plunge , source say",negative,lira plunge,high,0s4iavm1Fb-qnsEPsr-yyAU,Turkey
"LatAm markets seesaw on Syria , U . S . economic data",neutral,seesaw,high,1s4iap6rN9LrkdUPvvy_4Q0,Argentina
"Turkey rules property sales , rental agreements must be in lira",neutral,must be in lira,high,284iapLyJMy2kdUP7avd6AE,Turkey
Fixed Income News,neutral,Fixed Income News,high,4M4iat2ACYLonsEP0bSoyQE,Argentina
World Central Banks Just Cant Quit on Currency Intervention,negative,Cant Quit on Currency Intervention,medium,5M4iasynLIv_nsEPiKvH6AE,Argentina
UPDATE 4 - Argentine bonds rebound after touching lowest level of Macri term,positive,bonds rebound,high,6c4iavHDE5qD7M8P2KvAgQY,Argentina
EMERGING MARKETS - Latin American stocks seesaw after Trump tariff threats,negative,Trump tariff threats,high,7c4iat7CO4XxnsEP08eW8A0,Argentina
EMERGING MARKETS - Latin American stocks seesaw after Trump tariff threats,negative,Trump tariff threats,high,8s4iaqLHKfvFnsEPu8-moQY,Argentina
Turkey raises tax on foreign currency savings to help lira,positive,help lira,high,984iao-DEdSB7M8PqePhkAU,Turkey
"Turkey rules property sales , rental agreements must be in lira",neutral,must be in lira,high,-84iavnBL-a4nsEPnYjMyAY,Turkey
Early Thanksgiving : Release Of Pastor Relieves Pressure On Turkey,positive,Relieves Pressure,high,AM8iat7iF5_knsEPy6De0AE,Turkey
EMERGING MARKETS - Brazil currency skids as election woes add to pessimism,negative,currency skids,high,BM8iapiSN8vqnsEP87fpyAE,Argentina
Fixed Income News | Fidelity Investments,neutral,Fixed Income News,high,Cc8iasfiG_G4kdUPn5CGwAE,Turkey
Flash - Turkish economic growth beats expectations as vote looms - France 24,positive,beats expectations,high,Ds8iasPbAaSBkdUPhrCe8A0,Turkey
"Lira slips , Turkish Central Bank takes action",negative,Lira slips,high,Es8iavWrIp_knsEP4KDe0AE,Turkey
"Turkey rules property sales , rental agreements must be in lira",neutral,must be in lira,high,F88iapemC-C2nsEPpsj-2AU,Turkey
"EMERGING MARKETS - Equities markets fall amid global caution , monetary concerns",negative,equities markets fall,high,G88iavv-LZ6pnsEP8aTJkQY,Argentina
"Turkey Seeks to Trade in National Currencies With Russia , China , Iran",neutral,Trade in National Currencies,high,IM8iaviOEaiUkdUP4umaoA4,Turkey
Grupo Supervielle S . A . to Expand Its Capital Markets and Investment Banking Business,positive,Expand Its Capital Markets and Investment Banking Business,high,JM8iavmPOKaM7M8P4-K76A8,Argentina
Argentina : Protests Against IMF as G20 Ministers Convene | News,negative,Protests Against IMF,high,Kc8iarqlIt7MnsEPp8y2iA4,Argentina
Gold rate in Argentina on 23 April,neutral,Gold rate in Argentina,high,Ls8iasr_CJ21nsEPme234AU,Argentina
"  Trump effect  on international tourism ? San Antonio , Texas see mixed results",neutral,mixed results,high,Ms8iaqy7Lc3BnsEPzbSc4A0,Argentina
Russia Is This Week Emerging - Market Focus as the G - 20 Meets on Trade,neutral,Emerging - Market Focus,high,N88iateSEc2ensEP-YXKiQ4,Argentina
LatAm currencies seesaw ahead of Fed policy meeting,neutral,seesaw ahead of Fed policy meeting,high,O88iauTZNoXNnsEPtqPviA4,Argentina
Sub - zero  real  rates puts Turkey central bank in a bind,negative,puts Turkey central bank in a bind,high,QM8iarm2IaSBkdUP3tSegA4,Turkey
BlackRock Frontiers Investment Trust Plc,neutral,BlackRock Frontiers Investment Trust Plc,high,Rc8iau3XCuDV7M8PxJ7bgAI,Argentina
"EMERGING MARKETS - Brazil equities rally amid Wall Street gains , political calm",positive,equities rally,high,Sc8iapaZK9nk7M8PlovD0QE,Argentina
Talking Turkey,neutral,Talking Turkey,high,Ts8iaqiCD7vOnsEPz_3P6A0,Turkey
Argentine central bank chief resigns amid plunging peso - Xinhua,negative,plunging peso,high,U88iaqGLCJ35nsEPgsjU2AE,Argentina
LatAm currencies seesaw on U . S . political woes,negative,political woes,high,WM8iariIE7SDkdUP-eLw4A0,Argentina
EMERGING MARKETS - LatAm currencies down with eyes still … ,negative,currencies down,high,XM8iaqOdNeT9nsEP7uT_6A0,Argentina
Turkey currency surges more than 3 % on hopes a detained American pastor will be released,positive,currency surges,high,Yc8iapm0IJz-nsEP_dOp4AE,Turkey
Turkey raises tax on foreign currency savings to help lira,positive,help lira,high,Zs8iarysDszPnsEPxo7ViQ4,Turkey
Stanley Orchards sees big things coming out of Chile - The Produce News,positive,big things coming out of Chile,high,as8iaru9MsfHnsEP99DO4AQ,Argentina
Argentina Prices Surged by Most in Two Years After Peso Plunge,negative,Prices Surged,high,b88iarKaHOK3nsEP0ZG1iAU,Argentina
Lira to continue sliding - Barclays Bank,negative,continue sliding,high,dc8iavGwHbTj7M8Pr_LX2Q0,Turkey
Turkish lira gains value against US dollar - The Frontier Post,positive,gains value,high,es8iaq-UAZS1nsEP7LHHkAU,Turkey
Turkish lira rebounds as Erdogan is sworn in as president,positive,lira rebounds,high,fs8ias6lKpG7nsEPyfzC8A0,Turkey
"UPDATE 2 - Argentina keeps hawkish inflation stance , policy rate unchanged",neutral,policy rate unchanged,high,g88iapflDfaCkdUPvvav8AE,Argentina
EMERGING MARKETS - Latam currencies weaker with eyes on Fed ; stocks edge up,negative,currencies weaker,high,h88iauD4Mdm6kdUPovqV6Q0,Argentina
Turkey lira firms after Pompeo says he expects talks on U . S . pastor,positive,lira firms,high,jM8iapSuHaiEnsEPtdTUiQI,Turkey
EMERGING MARKETS - Argentine peso rebounds following dramatic rate hike,positive,peso rebounds,high,kc8iasnbAZeGnsEPlb_YiA4,Argentina
"Turkey Currency Tumbles , With Nearing to 5 Lira Against Dollar",negative,Currency Tumbles,high,lc8iauKJI9Hi7M8Ps7eV8AE,Turkey
"EMERGING MARKETS - LatAm stocks extend slide amid trade fears , tech rout",negative,extend slide amid trade fears,high,ms8iaqGQL8jZ7M8P7tS--A0,Argentina
"Emerging market stocks , FX steady ahead of US midterm elections",neutral,steady ahead of US midterm elections,high,n88iavzaFu2cnsEPk4nZ8Q0,Turkey
Turkish lira rebounds as Erdogan is sworn in as president,positive,lira rebounds,high,o88ias-ZPKD-nsEP-JztmQI,Turkey
Macri says Argentina currency crisis is over,positive,currency crisis is over,high,qs8iaurnC_vxnsEPyPmViAY,Argentina
Turkey lira firms after Pompeo says he expects talks on U . S . pastor,positive,lira firms,high,rs8iauSnKqP7nsEP4rvWwQ8,Turkey
Agrimoney - Commodities,neutral,Commodities,high,s88iareJEoeckdUPz_jCwAY,Argentina
Turkey economy slowed in second quarter as currency slid,negative,economy slowed,high,t88iav34NYLwnsEPmer0qQU,Turkey
"Turkey lira  in freefall , eyes on central bank",negative,lira in freefall,high,vM8iav-kIdCD7M8PremK-Q0,Turkey
Loma Negra Announces 4Q17 YoY Growth of 57 % in Revenues and 208 % in Net Profit,positive,57 % in Revenues and 208 % in Net Profit,high,wc8iatDuEL6XkdUPvIiw-Q0,Argentina
Lira Develops an Immunity to Turkish Inflation - The Washington Post,positive,Immunity to Turkish Inflation,high,xc8iaqz8NJ21nsEPmO234AU,Turkey
The Great Default That Never Was Mexico Tequila Crisis | Flashback,negative,Tequila Crisis,high,ys8iao6GG4H1kdUPmZ6fgQc,Argentina
Turks worried despite efforts to stop lira fall,negative,worried despite efforts to stop lira fall,high,zs8iau_EOa_DnsEPqL6kmQ4,Turkey
EMERGING MARKETS - Brazil stocks down on election uncertainty,negative,election uncertainty,high,088iatC3J8W0nsEPn5vBgA4,Argentina
Turkey economy slowed in second quarter as currency slid,negative,economy slowed,high,2M8iaqTmFIO9kdUP76Sp4Q0,Turkey
Will Turks heed Erdogan calls to sell dollars and buy liras ? ,negative,sell dollars and buy liras,medium,3M8iasmNPNiUkdUPws_akA4,Turkey
Turkey economy slowed in second quarter as currency slid,negative,economy slowed,high,4c8iaqe-JMXxnsEPp5_i8AE,Turkey
Turkey economy slowed in second quarter as | WBAL Radio 1090 AM,negative,economy slowed,high,5s8iavyNBOGK7M8Po9rXiQI,Turkey
Interest rates in Argentina have shot up to 33 . 25 % and could go higher,negative,interest rates... shot up to 33.25%,high,6s8iarvtKvOMkdUPmpbQgQY,Argentina
Macri says Argentina s currency crisis is over,positive,currency crisis is over,high,788iasrHG8vqkdUP8dfPiA8,Argentina
Argentina central bank sells $413 million in spot market,negative,sells $413 million,high,9M8iauP1B_msnsEPxYaI8AE,Argentina
More Turkish Cypriots seek higher wages in the south | News,negative,seek higher wages,medium,-M8iapbQK6WlkdUPlK2_-AE,Turkey
The Turkish lira is falling again but stock market investors are returning to Turkey at their fastest rate in half a decade,neutral,stock market investors are returning,medium,_c8iavXkELi1kdUPm_KAuQ4,Turkey
Turkish central bank move raises questions over independence,negative,raises questions over independence,high,AdAiauyBOtnk7M8PjIvD0QE,Turkey
Argentine Peso Wild Ride Is Getting Even Wilder,negative,Wild Ride Is Getting Even Wilder,high,BtAiavm0IbacnsEP5dmPmAY,Argentina
Turkey Borsa Istanbul up at open | Economy,positive,up at open,high,C9AiaoDsC__ikdUPrOr6gAU,Turkey
Argentine government reassures investors amid peso fall,negative,peso fall,high,ENAiaumUB_KtnsEPnseNgQI,Argentina
Turkey economy slowed in second quarter as currency slid,negative,economy slowed,high,FNAiauWpKYWtkdUPofqS6Q0,Turkey
Battered Argentine peso rises after interest rate jump,positive,rises after interest rate jump,high,GdAiaqW4D9-0kdUPoLz_-A0,Argentina
UPDATE 1 - Turkey Botas hikes natural gas price for power generation by 50 pct - sources | Agricultural Commodities,negative,hikes natural gas price,high,HdAiarnaOOCJnsEP_fTEuAY,Turkey
EMERGING MARKETS - Trump trade talk still drags on LatAm equities,negative,drags on LatAm equities,high,ItAiaqfrG-uD7M8P4vrYiA4,Argentina
"Turkey central bank hikes rates sharply , boosts lira - Nikkei Asian Review",positive,boosts lira,high,J9AiaqC3BKDm7M8P1ZLM0AE,Turkey
Argentina Quarterly Growth Slowed to 3 . 6 % Before Peso Crisis,negative,Peso Crisis,high,K9AiaqeiLbGBkdUP7Y3sgA4,Argentina
UPDATE 1 - Turkey lira weakens after government tax cut plans,negative,lira weakens,high,MNAiasa7Hom0nsEP_PrDmA4,Turkey
Turkey central bank silent as lira  freefall  intensifies,negative,lira freefall intensifies,high,NdAiauKNAamEkdUPkq20sQ8,Turkey
Turkey bank vows  necessary step after lira crashes to new lows,negative,lira crashes to new lows,high,OdAiao6rKtmN7M8P9IeEiQ4,Turkey
Turkey Borsa Istanbul flat at open,neutral,flat at open,high,PtAiao65E6v6nsEPzdj_-A0,Turkey
Turkish Lira Crashes To Record Low After Erdogan Says  Rates To Go Down  ,negative,Crashes To Record Low,high,QtAiaoTGO6XMnsEPlsaWqA8,Turkey
Turkey lira : Turkish currency RECOUPS losses against dollar as bank holds interest rates,positive,RECOUPS losses,high,R9AiasKnKIWF7M8P_NS28A0,Turkey
Turkey lira pares dollar gains after Erdogan victory,negative,pares dollar gains,high,TNAiatiMD-jY7M8P4c62mAE,Turkey
Turkey news : Lira crisis could DECIMATE businesses as rents linked to euro SOAR | World | News,negative,Lira crisis could DECIMATE businesses,high,UNAiauWRMtq0nsEP79eeMA,Turkey
EMERGING MARKETS - Mexico peso down on NAFTA jitters ; Chilean equities sink,negative,peso down on NAFTA jitters,high,VdAiarTMHLainsEPlabu8QE,Argentina
Turkey economy slowed in second quarter as currency slid,negative,economy slowed,high,W9AiatqIHIbj7M8Pyr7SgQ4,Turkey
Central Bank News,neutral,Central Bank News,high,YNAiavzKA5WVkdUPwcPviQ4,Argentina
"EMERGING MARKETS - Brazil stocks fall on iron ore , corporate news",negative,stocks fall,high,ZNAiavexK_XMnsEPsfnP8AU,Argentina
Argentina Prices Surged by Most in Two Years After Peso Plunge,negative,Prices Surged,high,adAiaqTxEZ6ykdUPmNqW8A0,Argentina
Pan American Silver Announces $79 . 3 million in Net Cash Generated From Operating Activities in Q4 2017,positive,$79.3 million in Net Cash Generated,high,bdAiaqSiOfmtkdUPg-q20Q0,Argentina
Trump Doubles Tariffs on Turkey after Currency Freefall,negative,Currency Freefall,high,ctAiatrbH8q5nsEPuaO58QE,Turkey
"EMERGING MARKETS - Brazil real , Mexico peso struggle as politics , trade weigh",negative,"struggle as politics , trade weigh",high,d9Aiar-SD5uekdUPpcTswQ4,Argentina
RPT - Argentina to free retail fuel prices in August,positive,free retail fuel prices,high,fNAiaq6TAdeIkdUPn-TZ4A0,Argentina
Turkey ETF Jumps as Ankara Looks to Supportive Policies,positive,Jumps as Ankara Looks to Supportive Policies,high,gNAiatWzKMuD7M8P1M71-AE,Turkey
Volkswagen lowers 2018 car sales outlook in Argentina - executive,negative,lowers 2018 car sales outlook,high,hdAiatuODunk7M8PudaRkQY,Argentina
Argentina outlines plan for $1 . 6 bln in late natgas subsidy payments | Energy & Oil,neutral,outlines plan,high,idAiapSpMuOxkdUPjuid0QE,Argentina
"Turkey rules property sales , rental agreements must be in lira",neutral,must be in lira,high,jtAiaqLAG8D5nsEP3bfjgQ4,Turkey
"Turkey lira weakens , investors eye September inflation data",negative,lira weakens,high,k9AiatnKA9mVkdUP1t-9qAY,Turkey
EMERGING MARKETS - LatAm currencies up ; rally undeterred by hawkish Fed,positive,currencies up,high,l9Aiape1LKLOnsEPiLzb6Q0,Argentina
There is no displacing Venezuela on the misery score,negative,misery score,high,nNAiasagEvy0kdUPouWo4A0,Argentina
Turkey lira slumps to new record lows after Erdogan commments,negative,slumps to new record lows,high,oNAiav-gNJ6KkdUPiOLAwAE,Turkey
Battered Argentine peso rises after interest rate jump,positive,rises after interest rate jump,high,pdAiapvaGb-qnsEPsr-yyAU,Argentina
"US President Donald Trump doubles tariffs on steel , aluminum from Turkey",negative,doubles tariffs,high,qtAiar_xBtLrkdUPvvy_4Q0,Turkey
"Turkey Central Bank Keeps Key Rate Unchanged , Lira Slumps",negative,Lira Slumps,high,rtAiasyiJ8y2kdUP7avd6AE,Turkey
"In Turkey pious heartland , faith in Erdogan trumps economy worries",negative,economy worries,high,s9AiarbtDYLonsEP0bSoyQE,Turkey
Battered Argentine peso rises after interest rate jump,positive,rises after interest rate jump,high,t9AiavalLYv_nsEPiKvH6AE,Argentina
Wind sets pace as Argentina works through Round 2 PPAs,positive,sets pace,medium,vNAiaum-EZqD7M8P2KvAgQY,Argentina
Portfolio Strategy Emerging Markets : Ballots ahead | Magazine,neutral,Ballots ahead,medium,wNAiavzjM4XxnsEP08eW8A0,Argentina
Turkish Lira Casts Pall Over Caucasus And Central Asia,negative,Casts Pall,high,xdAiavn6GPvFnsEPu8-moQY,Turkey
EMERGING MARKETS - LatAm currencies weaken as dollar rebounds globally,negative,currencies weaken,high,ytAiavuwBNSB7M8PqePhkAU,Argentina
Turkish central bank move raises questions over independence,negative,raises questions over independence,high,0tAiavLxG-a4nsEPnYjMyAY,Turkey
"EMERGING MARKETS - Brazil stocks , currency tank as investor fears emerge",negative,"stocks , currency tank",high,19Aiav7lL5_knsEPy6De0AE,Argentina
UPDATE 4 - Turkish lira skids past 5 to dollar and stocks drop on U . S . sanctions move,negative,lira skids past 5 to dollar and stocks drop,high,3NAiara3GcvqnsEP87fpyAE,Turkey
Argentina central bank holds policy rate at 27 . 25 percent,neutral,holds policy rate,high,4NAias76OvG4kdUPn5CGwAE,Argentina
Turkish central bank raises maximum credit card rates from October,negative,raises maximum credit card rates,high,5dAiatOtN6SBkdUPhrCe8A0,Turkey
Argentines tighten their belts at World Cup as peso plummets,negative,peso plummets,high,6tAiapiyI5_knsEP4KDe0AE,Argentina
Argentine Peso Jumps After Central Bank Acts to Reverse Sentiment,positive,Peso Jumps,high,79AiarmKBuC2nsEPpsj-2AU,Argentina
3 reasons why the selloff in Turkey lira matters to global markets,negative,selloff in Turkey lira,high,89AiavC2J56pnsEP8aTJkQY,Turkey
Are Crises in Argentina and Turkey Harbinger of the Global Crash ? ,negative,Harbinger of the Global Crash,high,-NAiaujQE6iUkdUP4umaoA4,Argentina
Turkish lira tumbles another 5 per cent as deputy bank chief steps aside,negative,lira tumbles,high,_NAiatX1N6aM7M8P4-K76A8,Turkey
"EMERGING MARKETS - Mexico stocks clock worst month in 6 - 1 / 2 years on Fed , NAFTA worries",negative,worst month in 6 - 1 / 2 years,high,AdEiaoGgKd7MnsEPp8y2iA4,Argentina
EMERGING MARKETS - LatAm currencies jump on easing concerns over global trade,positive,currencies jump on easing concerns,high,BtEiapu4Np21nsEPme234AU,Argentina
Volkswagen lowers 2018 car sales outlook in Argentina : executive | Business,negative,lowers 2018 car sales outlook,high,C9EiaqC5JM3BnsEPzbSc4A0,Argentina
"EMERGING MARKETS - Brazil real jumps , Argentine peso slumps to record low",neutral,"Brazil real jumps , Argentine peso slumps",high,ENEiarzzC82ensEP-YXKiQ4,Argentina
Argentina peso firms as central bank returns to market,positive,peso firms,high,FdEiatSWBIXNnsEPtqPviA4,Argentina
Argentina : Macri Herculean Task - Global X MSCI Argentina ETF ( NYSEARCA : ARGT ) ,negative,Herculean Task,medium,HtEiavaQHaSBkdUP3tSegA4,Argentina
Argentina names new central bank chief as peso plummets,negative,peso plummets,high,KtEiasecDODV7M8PxJ7bgAI,Argentina
Turkey heads toward a currency crisis as lira goes into freefall - Article,negative,currency crisis,high,LtEiapPEMdnk7M8PlovD0QE,Turkey
Trump tariff on Turkey rattle global markets | Business,negative,rattle global markets,high,M9Eiau2aHLvOnsEPz_3P6A0,Turkey
EMERGING MARKETS - LatAm stocks extend losses on U . S . inflation bets,negative,extend losses,high,ONEiaoyiCp35nsEPgsjU2AE,Argentina
CURRENCIES : Dollar Retreats As Commodity Currencies Bounce ; Turkish Lira Plummets,negative,Turkish Lira Plummets,high,PNEiatLkK7SDkdUP-eLw4A0,Turkey
German exports to Turkey fell sharply at height of lira crisis,negative,fell sharply,high,QdEiavSGFOT9nsEP7uT_6A0,Turkey
Telecom Argentina S . A . announces the filing of its form 20 - F with the U . S . Securities and Exchange,neutral,announces the filing of its form 20-F,high,RdEiaoKAOZz-nsEP_dOp4AE,Argentina
Argentina increases basic rate 300 points to 30 . 25 % to combat inflation MercoPress,negative,combat inflation,high,StEiarXwH8zPnsEPxo7ViQ4,Argentina
Turkish Currency Slide Poses a Political Challenge to Erdogan,negative,Currency Slide,high,T9EiapfwCMfHnsEP99DO4AQ,Turkey
Turkey : One interest rate hike wont stop emerging market pain,negative,emerging market pain,high,U9EiavnuL-K3nsEP0ZG1iAU,Turkey
EMERGING MARKETS - LatAm currencies rangebound as U . S . yields steady,neutral,rangebound,high,WNEiauCsFrTj7M8Pr_LX2Q0,Argentina
"Breakfast Briefing : Xiaopeng Motors , Google in India & Red iPhones",neutral,Breakfast Briefing,high,XNEiapnmOJS1nsEP7LHHkAU,Argentina
EMERGING MARKETS - Brazil equities bounce back with eyes on trade tensions,positive,equities bounce back,high,YdEiasXdJpG7nsEPyfzC8A0,Argentina
"UPDATE 2 - Argentina sells $422 mln in Treasury notes , below expectations",negative,below expectations,high,ZtEiat7aC_aCkdUPvvav8AE,Argentina
Turkey raises tax on foreign currency savings to help lira,positive,help lira,high,atEiapnAM9m6kdUPovqV6Q0,Turkey
Turkey Borsa Istanbul up at open | Economy,positive,up at open,high,ctEiaoz2OqiEnsEPtdTUiQI,Turkey
Turkish lira crisis sees currency plummets - Britons should book Turkey holidays NOW,negative,Turkish lira crisis,high,d9EiavaNJJeGnsEPlb_YiA4,Turkey
"Turkey rules property sales , rental agreements must be in lira",neutral,must be in lira,high,fNEiatvBDdHi7M8Ps7eV8AE,Turkey
"EMERGING MARKETS - LatAm currencies rebound after selloff , except Brazil",positive,currencies rebound,high,gNEiaserNsjZ7M8P7tS--A0,Argentina
Macri says Argentina currency crisis is over | World News,positive,currency crisis is over,high,hdEiasquHO2cnsEPk4nZ8Q0,Argentina
Argentine stocks and bonds rally after IMF deal ; peso falls | News,neutral,stocks and bonds rally after IMF deal ; peso falls,high,itEiaqe_BKD-nsEP-JztmQI,Argentina
EMERGING MARKETS - Brazil real outperforms as central bank offsets trade woes,positive,outperforms,high,jtEiau3GKfvxnsEPyPmViAY,Argentina
"Argentina , Renault , ADEFA , Cristiano Rattazzi",neutral,"Argentina , Renault , ADEFA , Cristiano Rattazzi",high,k9EiaveFEKP7nsEP4rvWwQ8,Argentina
Lira Needs More Than Just the Central Bank as the White Knight,negative,Needs More Than Just the Central Bank,high,l9EiaqSAOYeckdUPz_jCwAY,Turkey
EMERGING MARKETS - LatAm markets fall on U . S . rate hike prospects after wage data,negative,markets fall,high,nNEiar3qHYLwnsEPmer0qQU,Argentina
Turkey to miss government growth targets ; recession imminent : Reuters poll,negative,recession imminent,high,odEiarS-AdCD7M8PremK-Q0,Turkey
UPDATE 1 - Argentina 12 - month inflation surges to 29 . 5 pct in June,negative,inflation surges,high,pdEiauiQJ76XkdUPvIiw-Q0,Argentina
"Dont cry for Argentina peso , as bitcoin interest rises » Brave New Coin",negative,Dont cry for Argentina peso,high,qtEiaqWYEp21nsEPmO234AU,Argentina
Macri says Argentina currency crisis is over,positive,currency crisis is over,high,rtEiauPCNIH1kdUPmZ6fgQc,Argentina
EMERGING MARKETS - Argentina stocks jump as govt seeks IMF financing,positive,stocks jump,high,s9Eiasi9HK_DnsEPqL6kmQ4,Argentina
EMERGING MARKETS - Brazil real plummets despite central bank intervention,negative,real plummets,high,uNEiauTdBcW0nsEPn5vBgA4,Argentina
Argentina 100 - Year Bonds Plunge,negative,Bonds Plunge,high,vNEiatXNMYO9kdUP76Sp4Q0,Argentina
Turkish inflation accelerates more than expected,negative,inflation accelerates more than expected,high,wdEiarPzGNiUkdUPws_akA4,Turkey
UPDATE 2 - Turkey central bank sharply raises inflation forecasts,negative,sharply raises inflation forecasts,high,xdEiasKePMXxnsEPp5_i8AE,Turkey
"Petroleumworld , Latin America Energy , Oil and Gas , News and Information",neutral,News and Information,high,ytEiaojCH-GK7M8Po9rXiQI,Argentina
Fixed Income News,neutral,Fixed Income News,high,z9EiaqLLCfOMkdUPmpbQgQY,Argentina
"Turkey lira firms nearly one percent , extending recovery",positive,extending recovery,high,09EiasyDLcvqkdUP8dfPiA8,Turkey
EMERGING MARKETS - Brazil stocks battered by election uncertainty,negative,battered by election uncertainty,high,2NEiav6vEPmsnsEPxYaI8AE,Argentina
Spotlight : Turkey economic hardships last as U . S . sanctions likely to ease - Xinhua,negative,economic hardships,high,3NEiau7JMqWlkdUPlK2_-AE,Turkey
"EMERGING MARKETS - Argentina peso firms on central bank moves , Latam stocks fall",neutral,"Argentina peso firms on central bank moves , Latam stocks fall",high,4dEiao6AF7i1kdUPm_KAuQ4,Argentina
Turkey inflation rate hits 25 per cent as lira takes another hit against the US dollar amid Erdogan Trump dispute over American pastor,negative,inflation rate hits 25 per cent,high,5dEiapH-ONnk7M8PjIvD0QE,Turkey
